nodeid,masterid,control_type,control_id,node_lon_lat,control_lon_lat,distance
51,51,SIG,50460,"[-74.2518515311434, 40.5028053130546]","[-74.25183, 40.5027749999998]",12.5625709990075
129,129,SIG,50266,"[-74.2469026490975, 40.509045260747]","[-74.246901, 40.5090439999998]",0.64904775030046
193,193,SIG,50274,"[-74.2437414323526, 40.5099915977831]","[-74.24374, 40.5099929999998]",0.64777861141558
236,236,SIG,50474,"[-74.2416382799697, 40.5048316254524]","[-74.241639, 40.5048309999998]",0.30334345522818
285,285,SIG,50582,"[-74.2405429651239, 40.5177010753486]","[-74.240542, 40.5177009999999]",0.269742569034307
291,291,SIG,50573,"[-74.2394594851095, 40.5212794166166]","[-74.239458, 40.5212799999998]",0.464388439439197
316,316,SIG,50414,"[-74.2381766668458, 40.5055269347972]","[-74.238182, 40.5055269999998]",1.48328527966061
323,323,SIG,50622,"[-74.2348956380553, 40.5061880847417]","[-74.234897, 40.5061819999999]",2.24893074264367
354,354,SIG,50723,"[-74.2366676377319, 40.513874684174]","[-74.236672, 40.5138489999999]",9.43562146452103
372,372,SIG,50479,"[-74.235113111333, 40.5209171842395]","[-74.235112, 40.5209189999998]",0.730124267324223
386,386,SIG,50562,"[-74.2330619797621, 40.5067561239275]","[-74.233062, 40.5067569999998]",0.319222728100491
417,417,SIG,50268,"[-74.2328221452972, 40.5163365617589]","[-74.232823, 40.5163369999999]",0.286299040602349
447,447,SIG,50591,"[-74.239265632125, 40.5253863347791]","[-74.239264, 40.5253869999998]",0.514410526929688
449,63966,SIG,50576,"[-74.239371772632, 40.5282236066398]","[-74.239371, 40.5282249999998]",0.551203912258014
481,482,SIG,50652,"[-74.2373945352767, 40.5383521723418]","[-74.237402, 40.5383769999998]",9.28021926219064
491,492,SIG,50530,"[-74.2347914983227, 40.5241833308759]","[-74.234792, 40.5241829999998]",0.184347030209724
538,538,SIG,50316,"[-74.2300641716748, 40.5077526773288]","[-74.230056, 40.5077289999998]",8.92047589564448
550,550,SIG,50426,"[-74.2311552577402, 40.510821389881]","[-74.231156, 40.5108199999998]",0.54681472942362
657,657,SIG,50578,"[-74.2180689736634, 40.5096629211357]","[-74.218066, 40.5096649999998]",1.12132712084783
682,682,SIG,50637,"[-74.2167330027016, 40.5223661851321]","[-74.216733, 40.5223739999998]",2.84713755684473
711,711,SIG,50413,"[-74.2104353762913, 40.5117360005511]","[-74.210434, 40.5117359999998]",0.382696886252848
739,739,SIG,50461,"[-74.2062477805436, 40.5144151545881]","[-74.206249, 40.5144139999998]",0.54028802759164
783,783,SIG,50567,"[-74.2027859053269, 40.516623428031]","[-74.202785, 40.5166239999998]",0.32678114917524
851,851,SIG,50320,"[-74.1971359104903, 40.5191260304848]","[-74.197135, 40.5191259999998]",0.253389958292867
860,860,SIG,50538,"[-74.1951900846109, 40.5199987912192]","[-74.195181, 40.5199979999998]",2.54218538661442
863,863,SIG,50587,"[-74.230440115269, 40.5246102300801]","[-74.230441, 40.5246119999998]",0.690141302200814
872,872,SIG,50585,"[-74.2302283790106, 40.5276662299403]","[-74.230214, 40.5276669999999]",4.0071632128739
906,84005,SIG,50584,"[-74.2248854998375, 40.5324051004477]","[-74.224845, 40.5323989999998]",11.4753459413108
950,84005,SIG,50613,"[-74.2230737670967, 40.5321304071123]","[-74.223003, 40.5321669999998]",23.7636498372429
1011,1011,SIG,50457,"[-74.2213156270882, 40.5502530739847]","[-74.221314, 40.5502519999998]",0.597963128018775
1015,1126,SIG,50433,"[-74.220834968952, 40.5490917403181]","[-74.220836, 40.5490919999998]",0.301751832440604
1039,1126,SIG,50412,"[-74.2168269102691, 40.5286472047381]","[-74.216843, 40.5286429999999]",4.72789323297851
1048,1048,SIG,50586,"[-74.217780845184, 40.5314276871367]","[-74.217755, 40.5314489999998]",10.5786899031098
1079,1079,SIG,50444,"[-74.2177998430288, 40.5377494946768]","[-74.217801, 40.5377479999998]",0.632414806632404
1093,1093,SIG,50431,"[-74.2176778578795, 40.5401315465211]","[-74.217679, 40.5401309999998]",0.37472388922708
1097,1097,SIG,50536,"[-74.2192968462197, 40.5450527070018]","[-74.219297, 40.5450519999998]",0.261099438881231
1101,1101,SIG,50626,"[-74.2200821096183, 40.5471382716484]","[-74.22008, 40.5471299999998]",3.07006252869559
1136,1136,SIG,50258,"[-74.2156723043723, 40.5239576290342]","[-74.215674, 40.5239569999999]",0.524160159515586
1142,1142,SIG,50616,"[-74.2140980676006, 40.5240971945658]","[-74.214098, 40.5240969999998]",0.0733340161432137
1146,1146,SIG,50566,"[-74.216486469699, 40.5279256406013]","[-74.216485, 40.5279239999998]",0.724007566237729
1168,9038081,SIG,50419,"[-74.2147509914091, 40.5414053676406]","[-74.214773, 40.5413689999999]",14.5935053700944
1221,1221,SIG,50544,"[-74.2102820197225, 40.5247210678353]","[-74.210281, 40.5247219999998]",0.442382895859668
1224,1224,SIG,50545,"[-74.2096120592463, 40.5252266344313]","[-74.209613, 40.5252279999998]",0.562064133467432
1231,1233,SIG,50572,"[-74.2109971724559, 40.5294546452386]","[-74.210997, 40.5294549999998]",0.137852583947585
1233,1233,SIG,50571,"[-74.2110882214198, 40.530260714589]","[-74.211089, 40.5302619999998]",0.515901091071529
1260,65502,SIG,50595,"[-74.2098877513813, 40.5415539307072]","[-74.209887, 40.5415539999998]",0.210359095151432
1273,1273,SIG,50443,"[-74.2098853011728, 40.5464302114475]","[-74.209885, 40.5464309999998]",0.299233401226118
1284,1284,SIG,50404,"[-74.210782853193, 40.54878590041]","[-74.210784, 40.5487849999998]",0.457368776494997
1334,1334,SIG,50363,"[-74.207973106681, 40.5416710524028]","[-74.207982, 40.5417079999998]",13.6859513673342
1337,1337,SIG,50362,"[-74.2069901812885, 40.5417466809446]","[-74.207006, 40.5417629999998]",7.39448587061786
1357,1358,SIG,50628,"[-74.2054609017442, 40.5255443369633]","[-74.205466, 40.5255389999998]",2.40613555338172
1385,1387,SIG,50296,"[-74.2030931156143, 40.5324836057426]","[-74.203092, 40.5324829999998]",0.380623440411253
1387,1387,SIG,50295,"[-74.2028903293816, 40.5317115616947]","[-74.202892, 40.5317119999998]",0.49108694791977
1389,1389,SIG,50702,"[-74.2049945170086, 40.5364971111326]","[-74.204995, 40.5364999999998]",1.06101040525655
1431,1431,SIG,50271,"[-74.2015266156443, 40.5262652057529]","[-74.201526, 40.5262659999998]",0.336189653573269
1466,1466,SIG,50442,"[-74.2021827629164, 40.5423823301794]","[-74.202183, 40.5423829999998]",0.252771463236913
1502,1502,SIG,50462,"[-74.1991204474984, 40.5467087070518]","[-74.19912, 40.5467079999998]",0.286047297234815
1505,70366,SIG,50374,"[-74.2001279189721, 40.5487598740889]","[-74.200126, 40.5487599999998]",0.535270484282843
1538,1538,SIG,50463,"[-74.1954251890523, 40.5391784735347]","[-74.195424, 40.5391769999998]",0.630419829498164
1551,65533,SIG,50300,"[-74.1973075914197, 40.5432620458344]","[-74.197307, 40.5432609999998]",0.414966471051328
1657,63966,SIG,50588,"[-74.2092612583803, 40.5566777727392]","[-74.209231, 40.5566959999998]",10.7142059421449
1658,63966,SIG,50343,"[-74.206998851952, 40.5575674891355]","[-74.206893, 40.5575829999998]",29.9513414412165
1669,63966,SIG,50579,"[-74.2039844997749, 40.5566174841783]","[-74.203986, 40.5566169999998]",0.452662953077654
1677,1677,SIG,50470,"[-74.2009703918817, 40.5507901395857]","[-74.200971, 40.5507889999998]",0.448255657135318
1708,1708,SIG,50417,"[-74.1994668324809, 40.5571811801722]","[-74.199468, 40.5571819999998]",0.440979148967966
1747,1747,SIG,50384,"[-74.1976948122918, 40.5588870524625]","[-74.197695, 40.5588869999998]",0.0555498498654737
1750,70676,SIG,50574,"[-74.1965627175748, 40.5577726831116]","[-74.196562, 40.5577719999998]",0.318898710667557
1791,3272,SIG,50421,"[-74.1984828907492, 40.587120445432]","[-74.19865, 40.5870769999998]",49.0393178627394
1896,1896,SIG,50313,"[-74.1884683483997, 40.5231276167031]","[-74.188467, 40.5231259999998]",0.698181150538931
1956,1956,SIG,50647,"[-74.1921746488347, 40.5283145943058]","[-74.192157, 40.5283049999999]",6.02409096459627
1962,1962,SIG,50372,"[-74.1939845695051, 40.5308710464226]","[-74.194017, 40.5308379999998]",15.0407744411547
1963,1963,SIG,50649,"[-74.1930197666004, 40.5294969240498]","[-74.192996, 40.5294989999999]",6.65002491342845
1973,1973,SIG,50263,"[-74.1917436878777, 40.531916696039]","[-74.191744, 40.5319179999998]",0.482921615148182
1975,1977,SIG,50299,"[-74.19377169307, 40.535833846017]","[-74.19377, 40.5358339999998]",0.473943748165474
1977,1977,SIG,50293,"[-74.1930090110403, 40.5343260511454]","[-74.19301, 40.5343259999998]",0.275531795140487
2029,2029,SIG,50650,"[-74.1911409812287, 40.5268599828226]","[-74.191142, 40.5268599999999]",0.283288505589272
2088,2088,SIG,50606,"[-74.189298758547, 40.548378302247]","[-74.189262, 40.5483659999998]",11.1555939430748
2097,2097,SIG,50310,"[-74.1860981634925, 40.5239964159612]","[-74.186099, 40.5239979999998]",0.622198422177375
2117,2117,SIG,50713,"[-74.1862980349633, 40.5340941912114]","[-74.1863, 40.5341149999998]",7.60078307064474
2166,2166,SIG,50282,"[-74.1875734748498, 40.550147681028]","[-74.187572, 40.5501479999998]",0.426022686298649
2196,2196,SIG,50661,"[-74.1819594417665, 40.5355487502657]","[-74.181927, 40.5355629999998]",10.4052944445287
2198,2198,SIG,50254,"[-74.1808293114801, 40.5359248857988]","[-74.18083, 40.5359239999998]",0.375198722413468
2230,2293,SIG,50281,"[-74.1812853313825, 40.5469575731844]","[-74.181284, 40.5469569999998]",0.424874539931765
2240,2240,SIG,50410,"[-74.1803109132307, 40.5260890634721]","[-74.18031, 40.5260899999998]",0.425291297341701
2246,2246,SIG,50385,"[-74.1784091458022, 40.5267102215759]","[-74.178409, 40.5267109999998]",0.28647995358642
2323,2323,SIG,50689,"[-74.1747599945975, 40.5267356113689]","[-74.174725, 40.5267449999998]",10.31234461103
2347,2347,SIG,50257,"[-74.1741314482753, 40.5378580851444]","[-74.174132, 40.5378579999998]",0.156460630312654
2360,2360,SIG,50277,"[-74.1764987216722, 40.5444869108642]","[-74.176499, 40.5444859999998]",0.340746122839167
2367,2367,SIG,50280,"[-74.173773808844, 40.5431534398707]","[-74.173772, 40.5431539999998]",0.542576391628105
2477,2477,SIG,50360,"[-74.1672765570078, 40.5268959676529]","[-74.167293, 40.5268769999998]",8.28544515835787
2517,2517,SIG,50441,"[-74.1682922735463, 40.538930127846]","[-74.168293, 40.5389289999998]",0.45783257144818
2522,2522,SIG,50456,"[-74.1670024049542, 40.5371163199887]","[-74.166978, 40.5371169999998]",6.78808149036237
