ogc_fid,nodeid,vintersect,version,created,masterid,is_int,manual_fix,is_cntrln_int
"18959",20014,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"18960",20015,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"18961",20017,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"18990",20067,,19d,2019-12-13T10:04:53.983,"20067","1","0","1"
"18991",20068,,19d,2019-12-13T10:04:53.983,"20068","1","0","1"
"18992",20069,,19d,2019-12-13T10:04:53.983,"20069","1","0","1"
"18993",20070,,19d,2019-12-13T10:04:53.983,"20201","1","0","1"
"18995",20072,VirtualIntersection,19d,2019-12-13T10:04:53.983,"20072","1","0","1"
"18999",20076,,19d,2019-12-13T10:04:53.983,"20076","1","0","1"
"19003",20080,,19d,2019-12-13T10:04:53.983,"20080","1","0","1"
"19006",20083,,19d,2019-12-13T10:04:53.983,"20083","1","0","1"
"19007",20084,,19d,2019-12-13T10:04:53.983,"20084","1","0","1"
"19008",20086,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19009",20087,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19010",20088,,19d,2019-12-13T10:04:53.983,"20090","1","0","1"
"19011",20089,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19012",20090,,19d,2019-12-13T10:04:53.983,"20090","1","0","1"
"19013",20091,,19d,2019-12-13T10:04:53.983,"20091","1","0","1"
"19014",20092,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19015",20093,,19d,2019-12-13T10:04:53.983,"20093","1","0","1"
"19016",20094,,19d,2019-12-13T10:04:53.983,"20095","1","0","1"
"19017",20095,,19d,2019-12-13T10:04:53.983,"20095","1","0","1"
"19018",20096,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19019",20097,,19d,2019-12-13T10:04:53.983,"20097","1","0","1"
"19020",20098,,19d,2019-12-13T10:04:53.983,"20098","1","0","1"
"19021",20099,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19022",20100,,19d,2019-12-13T10:04:53.983,"20100","1","0","1"
"19023",20101,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19024",20102,,19d,2019-12-13T10:04:53.983,"20102","1","0","1"
"19025",20103,,19d,2019-12-13T10:04:53.983,"20103","1","0","1"
"19026",20104,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19027",20105,,19d,2019-12-13T10:04:53.983,"20105","1","0","1"
"19028",20106,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19029",20107,,19d,2019-12-13T10:04:53.983,"20107","1","0","1"
"19030",20108,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19031",20109,,19d,2019-12-13T10:04:53.983,"20109","1","0","1"
"19032",20110,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19033",20111,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19034",20112,,19d,2019-12-13T10:04:53.983,"20112","1","0","1"
"19035",20113,,19d,2019-12-13T10:04:53.983,"20113","1","0","1"
"19036",20114,,19d,2019-12-13T10:04:53.983,"20114","1","0","1"
"19037",20115,,19d,2019-12-13T10:04:53.983,"20115","1","0","1"
"19038",20116,,19d,2019-12-13T10:04:53.983,"20116","1","0","1"
"19039",20117,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"19040",20120,,19d,2019-12-13T10:04:53.983,"20120","1","0","1"
"19041",20121,,19d,2019-12-13T10:04:53.983,"20121","1","0","1"
"19042",20122,VirtualIntersection,19d,2019-12-13T10:04:53.983,"20122","1","0","1"
"19043",20123,,19d,2019-12-13T10:04:53.983,"20123","1","0","1"
"19044",20124,,19d,2019-12-13T10:04:53.983,"20124","1","0","1"
"19045",20125,,19d,2019-12-13T10:04:53.983,"20125","1","0","1"
