STREET_1,STREET_2,STREET_3,BOROUGH,NOOFHUMPS,NEARSCHOO,DATEINSTA,DATEREINS,ORDERNO,SEGMENTID
EAST 107 STREET,AVENUE J,FLATLANDS AVENUE,Brooklyn,2,2,1/7/2020,,B-01400494,128717
EAST 107 STREET,AVENUE J,FLATLANDS AVENUE,Brooklyn,2,2,1/7/2020,,B-01400494,186735
EAST 107 STREET,AVENUE J,FLATLANDS AVENUE,Brooklyn,2,2,1/7/2020,,B-01400494,186736
MIDWOOD STREET,KINGSTON AVENUE,BROOKLYN AVENUE,Brooklyn,1,0,12/16/2019,,B-01399639,28864
OCEAN PARKWAY,AVENUE T,AVENUE U,Brooklyn,2,0,11/22/2019,,B-01396949,25478
MIDWOOD STREET,KINGSTON AVENUE,BROOKLYN AVENUE,Brooklyn,1,0,11/19/2019,,B-01399639,28864
ARTHUR AVENUE,EAST 179 STREET,EAST 180 STREET,Bronx,1,1,11/8/2019,,B-01377722,78830
MARTHA AVENUE,EAST 238 STREET,EAST 237 STREET,Bronx,1,0,10/7/2019,,B-01372533,88933
ST PAULS AVENUE,PAXTON STREET,CEBRA AVENUE,Staten Island,2,0,10/4/2019,,B-01391714,15557
ST PAULS AVENUE,PAXTON STREET,CEBRA AVENUE,Staten Island,2,0,10/4/2019,,B-01391714,15398
ST PAULS AVENUE,PAXTON STREET,CEBRA AVENUE,Staten Island,2,0,10/4/2019,,B-01391714,15560
ST PAULS AVENUE,PAXTON STREET,CEBRA AVENUE,Staten Island,2,0,10/4/2019,,B-01391714,15558
ST PAULS AVENUE,SWAN STREET,PAXTON STREET,Staten Island,1,0,9/30/2019,,B-01391714,16339
ST PAULS AVENUE,SWAN STREET,PAXTON STREET,Staten Island,1,0,9/30/2019,,B-01391714,16337
REVIEW AVENUE,LAUREL HILL BOULEVARD,37 STREET,Queens,4,0,9/28/2019,,B-01388849 / 01388850,113005
REVIEW AVENUE,LAUREL HILL BOULEVARD,37 STREET,Queens,4,0,9/28/2019,,B-01388849 / 01388850,281448
REVIEW AVENUE,LAUREL HILL BOULEVARD,37 STREET,Queens,4,0,9/28/2019,,B-01388849 / 01388850,281449
VANDERBILT AVENUE,IRVING PLACE,PRINCE STREET,Staten Island,1,0,9/24/2019,,B-01388480 / 01388523,15317
VANDERBILT AVENUE,OSGOOD AVENUE,PARK HILL LANE,Staten Island,1,0,9/21/2019,,B-1388480 / 01388523,15478
VANDERBILT AVENUE,PLEASANT PLACE,PINE PLACE,Staten Island,1,0,9/20/2019,,B-01388480 / 01388523,15503
JERSEY STREET,CRESCENT AVENUE,RICHMOND TERRACE,Staten Island,2,0,9/18/2019,,B-01375771 / 01375790,9005324
JERSEY STREET,CRESCENT AVENUE,RICHMOND TERRACE,Staten Island,2,0,9/18/2019,,B-01375771 / 01375790,16201
