segmentid,street,postvz_sl,postvz_sg,prevz_sl,prevz_sg,version
"79081",SHERIDAN EXPRESSWAY SR,"0",NO,"0",NO,20d
"134851",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"134852",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"134853",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"134855",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"134856",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"134857",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"134858",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"134861",SHERIDAN EXPRESSWAY NB ET,"0",NO,"0",NO,20d
"134862",SHERIDAN EXPRESSWAY NB ET,"0",NO,"0",NO,20d
"134865",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140280",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140282",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140284",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140285",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140286",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140287",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140288",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140289",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140290",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140291",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140293",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140295",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140296",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140297",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140298",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140299",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140301",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140309",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140310",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140311",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140313",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140314",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140317",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140976",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140977",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
"140981",SHERIDAN EXPRESSWAY,"50",YES,"50",YES,20d
