segmentid,street,postvz_sl,postvz_sg,prevz_sl,prevz_sg,version
"83654",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"83656",NORTHERN BL SR SOUTH,"25",YES,"30",YES,19d
"83658",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"83666",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"83670",NORTHERN BL SR SOUTH,"25",YES,"30",YES,19d
"83673",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"83678",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"83693",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"83776",NORTHERN BL SR SOUTH,"25",YES,"30",YES,19d
"83781",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"83790",NORTHERN BL SR SOUTH,"25",YES,"30",YES,19d
"83797",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"83816",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"83898",NORTHERN BL SR SOUTH,"25",NO,"30",NO,19d
"83899",NORTHERN BL SR SOUTH,"25",YES,"30",YES,19d
"83903",NORTHERN BL SR SOUTH,"25",NO,"30",NO,19d
"83904",NORTHERN BL SR SOUTH,"25",YES,"30",YES,19d
"83908",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"83919",NORTHERN BL SR NORTH,"25",YES,"30",YES,19d
"84027",NORTHERN BL SR SOUTH,"25",YES,"30",YES,19d
"84030",NORTHERN BL SR SOUTH,"25",YES,"30",YES,19d
"84169",NORTHERN BL SR SOUTH,"25",NO,"30",NO,19d
"84174",NORTHERN BL SR SOUTH,"25",NO,"30",NO,19d
"84197",NORTHERN BL SR SOUTH,"25",NO,"30",NO,19d
"84212",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"84220",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"91329",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"91424",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
